序号,商品编号,商品名称,价格,销量,产地
1,20978010925,生发增发密发增长精华液育发250ml,68.00,1200+,中国大陆
2,3242983,霸王洗发水套装（育发防脱洗发液380ml+头皮营养液55ml）生姜,109.00,22万+,中国大陆广东省
3,5184183,吕(Ryo) 棕吕（原黄吕）固发防脱滋养洗发水500ml （增发防脱 强健发根 强韧发丝）  韩国原装进口,69.00,17万+,韩国
4,6381779,霸王育发防脱洗发水套装（育发防脱洗发液380ml*2+洗护旅行装）生姜汁洗发水 ,199.00,9万+,中国大陆广东省广州市
5,499053,海飞丝洗发水护根防掉发750ml（持久去屑控油滋养）,55.80,152万+,广州/天津
6,1082483,霸王育发防脱洗发液200ml+头皮营养液生姜汁,58.00,9万+,广州
7,5137847,欧倍青 Alpecin 德国进口 C1 预,68.00,2.8万+,德国比勒费尔德市
8,4588089,卓蓝雅 生姜,96.00,8.8万+,广东广州
9,12338728444,洗发水生发增发密发洗发露 护发育发液 控油去屑洗头水膏 3盒超值装（一疗程）,179.00,9300+,中国大陆
10,1976866,霸王（BAWANG）防脱洗发液（滋润调理型）400ml（,78.00,10万+,广东省
11,5309376,卓蓝雅 生姜,58.00,8.8万+,广东广州
12,3198771,洗发水套装 防脱洗发液380ml+育发膏 男女士防脱增发密发 新老装随机发,109.00,22万+,中国大陆广东省
13,29212556948,章光101瑞丝,158.00,1万+,中国
14,17534992485,生姜汁洗发水洗黑防止脱固发草本去油长发头发增长液老姜王防掉发洗护发液增发密发洗护,88.00,6400+,中国大陆
15,100000196401,沙宣无硅油小脸洗发水迷迭香养根韧发裸感500ml (48小时清爽蓬松) 易烊千玺同款清香型,69.90,12万+,广州
16,11290255686,霸王（BAWANG） 育发防脱洗发水生发液套装男女士洗头膏生姜洗发水 ,99.00,1.4万+,中国大陆
17,3242975,霸王（BAWANG）女士防脱洗发液750ml（,108.00,5.5万+,中国大陆广东省
18,11290165386,同仁堂（TRT） 北京同仁堂生姜洗发水 ,68.00,9300+,中国大陆
19,1976867,洗发水 洗发露 洗头膏）,108.00,10万+,广东省
20,797095,霸王（BAWANG）女士防脱洗发液400ml（,43.00,9万+,广州
